url,source,label,headline
http://www.foxnews.com/entertainment/lori-loughlin-mossimo-giannulli-asks-serve-remainder-prison-sentence-home,FoxNews,0,Lori Loughlin's husband Mossimo Giannulli asks to serve remainder of five-month prison sentence at home
https://foxnews.com/politics/back-trail-top-biden-surrogate-newsom-now-campaigning-harris,FoxNews,0,Back on the trail: Top Biden surrogate Newsom now campaigning for Harris
https://foxnews.com/politics/harris-claims-trump-abortion-platform-makes-no-exception-moments-after-trump-says-opposite-absolute-lie,FoxNews,0,"Harris claims Trump abortion platform makes ‘no exception,’ moments after Trump says the opposite"
https://foxnews.com/politics/jimmy-carters-family-reveals-how-president-felt-about-biden-quitting-which-dnc-speaker-stole-show,FoxNews,0,"Jimmy Carter’s family reveals how president felt about Biden quitting, which DNC speaker stole the show"
https://foxnews.com/politics/new-poll-reveals-what-democrats-think-harris-president,FoxNews,0,New poll reveals what Democrats think of Harris as president
https://foxnews.com/politics/taylor-swift-endorses-kamala-harris-president-after-debate-ive-made-my-choice,FoxNews,0,Taylor Swift endorses Kamala Harris for president after debate: ‘I’ve made my choice
https://foxnews.com/politics/trump-harris-trade-barbs-crime-during-first-presidential-debate-through-roof,FoxNews,0,"Trump, Harris trade barbs on crime during first presidential debate: 'Through the roof"
https://foxnews.com/politics/trump-says-he-probably-took-bullet-head-due-dem-rhetoric,FoxNews,0,Trump says he 'probably took a bullet to the head' due to Dem rhetoric
https://foxnews.com/politics/trump-spars-harris-moderators-during-heated-presidential-debate-doesnt-have-plan,FoxNews,0,"Trump spars with Harris, moderators during heated presidential debate: 'She doesn't have a plan"
https://foxnews.com/sports/nba-great-magic-johnson-slammed-calling-obamas-dnc-speeches-best-history-our-country,FoxNews,0,NBA great Magic Johnson slammed for calling Obama’s DNC speeches the best in ‘history of our country
https://www.foxnews.com/auto/jeep-saluting-u-s-military-veterans-cash-back-deal,FoxNews,0,"Jeep saluting US military and veterans with $1,000 cash-back deal"
https://www.foxnews.com/entertainment/50-cent-voting-trump-over-biden-tax-plan,FoxNews,0,50 Cent says ‘vote for Trump’ in light of Biden's tax plan: 'IM OUT
https://www.foxnews.com/entertainment/8-rock-stars-rocking-80s.print,FoxNews,0,8 rock stars who are rockin' their way into their 80s
https://www.foxnews.com/entertainment/agt-judge-simon-cowell-has-rare-public-outing-son-fiancee-after-revealing-10-year-old-saved-him.print,FoxNews,0,AGT' judge Simon Cowell has rare public outing with son and fiancée after revealing 10-year-old 'saved' him
https://www.foxnews.com/entertainment/american-graffiti-cast-50-years-film-launched-harrison-ford-struggling-carpenter-han-solo,FoxNews,0,American Graffiti' cast 50 years later: How film launched Harrison Ford from struggling carpenter to Han Solo
https://www.foxnews.com/entertainment/american-idol-fans-criticize-katy-perry-luke-bryan-rude-reaction-they-need-apologize,FoxNews,0,American Idol' fans criticize Katy Perry and Luke Bryan after 'rude' reaction: They need to 'apologize
https://www.foxnews.com/entertainment/american-idol-judge-katy-perry-suffers-wardrobe-malfunction-during-show.print,FoxNews,0,American Idol' judge Katy Perry suffers wardrobe malfunction during show
https://www.foxnews.com/entertainment/american-idol-judge-luke-bryan-shares-which-stars-have-been-in-talks-replace-katy-perry-hit-show,FoxNews,0,American Idol’ judge Luke Bryan shares which stars have been ‘in the talks’ to replace Katy Perry on hit show
https://www.foxnews.com/entertainment/americas-got-talent-judge-heidi-klum-did-not-expect-9-year-olds-epic-tina-turner-performance,FoxNews,0,America's Got Talent' judge Heidi Klum 'did not expect' 9-year-old's epic Tina Turner performance
https://www.foxnews.com/entertainment/americas-got-talent-judge-simon-cowell-makes-show-history-shocking-move,FoxNews,0,America's Got Talent' judge Simon Cowell makes show history with shocking move
https://www.foxnews.com/entertainment/americas-got-talent-judge-simon-cowells-fiancee-pushes-workaholic-star-do-normal-things,FoxNews,0,America’s Got Talent’ judge Simon Cowell’s fiancée pushes ‘workaholic’ star to do ‘normal things
https://www.foxnews.com/entertainment/arnold-schwarzenegger-expands-current-relationship-status-ex-wife-maria-shriver,FoxNews,0,Arnold Schwarzenegger expands on his current relationship status with ex-wife Maria Shriver
https://www.foxnews.com/entertainment/arnold-schwarzenegger-gruesome-injury-total-recall.print,FoxNews,0,Arnold Schwarzenegger remembers gruesome injury while filming 'Total Recall
